id,temperature,humidity,sound_volume,inspection_due
518,64.17,41,100,0
519,50.58,45,94,0
520,30.27,23,102,0
521,3.27,85,111,0
522,19.76,3,51,0
523,23.95,50,26,0
524,95.23,20,84,0
525,35.18,53,45,0
526,96.12,79,83,1
527,90.88,60,57,0
528,82.67,78,32,0
529,51.48,59,62,0
530,61.33,38,51,0
531,92.04,14,84,0
532,69.87,28,29,0
533,31.59,99,112,1
534,12.53,94,34,0
535,78.06,93,112,1
536,42.39,58,74,0
537,52.89,67,119,1
538,70.91,56,83,1
539,93.02,1,92,0
540,37.44,72,44,0
541,5.07,58,78,0
542,46.14,94,116,1
543,71.64,38,21,0
544,46.48,22,66,0
545,11.66,28,90,0
546,23.29,55,50,0
547,90.7,14,92,0
548,61.49,15,120,0
549,86.82,52,107,1
550,96.61,12,87,0
551,2.67,83,112,0
552,18.96,85,82,0
553,19.6,62,96,0
554,78.87,37,61,0
555,38.37,71,115,1
556,86.02,18,57,0
557,33.42,95,114,1
558,38.96,80,80,0
559,10.51,55,90,0
560,2.08,11,42,0
561,85.5,16,64,0
562,32.12,45,53,0
563,14.6,88,101,0
564,38.64,89,81,1
565,59.33,61,117,1
566,32.21,61,34,0
567,46.78,2,95,0
568,49.83,35,84,0
569,84.45,46,21,0
570,40.73,4,99,0
571,83.33,100,97,1
572,98.96,95,79,0
573,58.72,16,27,0
574,79.19,27,109,0
575,38.58,62,82,1
576,87.34,42,37,0
577,66.32,56,59,0
578,87.55,30,54,0
579,17.41,87,29,0
580,91.05,36,104,0
581,63.09,87,108,1
582,80.35,78,63,0
583,26.78,93,71,0
584,2.83,61,35,0
585,7.56,15,84,0
586,58.56,79,58,0
587,55.19,35,89,0
588,82.81,85,81,1
589,35.86,65,41,0
590,79.4,51,25,0
591,71.31,66,60,0
592,25.0,59,99,0
593,56.0,66,56,0
594,77.38,100,82,1
595,99.88,20,89,0
596,18.97,34,23,0
597,29.29,30,36,0
598,50.04,15,66,0
599,92.02,53,40,0
600,25.75,1,69,0
601,44.22,7,120,0
602,13.32,43,44,0
603,58.11,34,77,0
604,27.12,78,57,0
605,18.04,12,27,0
606,32.44,98,57,0
607,39.71,91,59,0
608,20.41,11,20,0
609,74.13,41,52,0
610,7.99,86,48,0
611,12.19,13,94,0
612,49.97,75,40,0
613,56.5,88,52,0
614,59.54,67,93,1
615,13.46,91,107,0
616,45.44,53,32,0
617,30.76,54,104,1
618,20.16,10,43,0
619,80.32,81,35,0
620,82.43,43,72,0
621,16.47,42,74,0
622,32.21,72,95,1
623,54.72,56,37,0
624,27.17,6,53,0
625,10.86,73,84,0
626,29.73,38,37,0
627,71.97,95,90,1
628,80.95,20,107,0
629,11.05,73,87,0
630,61.21,8,48,0
631,49.97,12,56,0
632,86.62,7,29,0
633,2.08,35,76,0
634,39.84,6,113,0
635,58.83,59,22,0
636,83.37,84,48,0
637,69.97,87,40,0
638,65.05,16,115,0
639,52.33,83,100,1
640,29.26,69,97,0
641,12.37,17,21,0
642,21.93,82,46,0
643,58.93,54,120,1
644,68.83,72,96,1
645,13.94,100,95,0
646,68.54,79,102,1
647,73.68,77,68,0
648,86.0,72,46,0
649,19.8,55,22,0
650,84.84,39,65,0
651,67.07,87,34,0
652,96.98,36,50,0
653,82.13,57,30,0
654,66.49,95,78,0
655,83.83,70,91,1
656,35.84,75,45,0
657,40.47,12,108,0
658,92.0,26,107,0
659,0.03,81,101,0
660,66.99,97,107,1
661,17.61,98,81,0
662,10.62,94,110,0
663,76.37,57,35,0
664,18.59,9,100,0
665,41.35,19,88,0
666,75.62,80,58,0
667,66.93,63,51,0
668,98.47,20,95,0
669,80.01,33,35,0
670,77.21,38,64,0
671,66.93,98,97,1
672,10.46,85,59,0
673,27.17,75,62,0
674,18.05,22,40,0
675,40.14,12,88,0
676,13.83,71,32,0
677,15.32,58,54,0
678,90.19,45,115,0
679,90.27,13,119,0
680,69.26,49,104,0
681,22.42,7,34,0
682,0.82,27,43,0
683,66.41,97,71,0
684,1.95,10,31,0
685,75.75,71,59,0
686,97.76,74,114,1
687,81.26,85,65,0
688,31.32,69,96,1
689,75.41,82,73,0
690,82.94,86,118,1
691,53.63,14,69,0
692,37.88,20,62,0
693,66.57,42,114,0
694,74.98,38,22,0
695,7.42,63,45,0
696,50.93,90,35,0
697,77.94,6,36,0
698,12.83,84,32,0
699,65.26,69,56,0
700,18.87,72,70,0
701,70.27,76,33,0
702,71.16,80,112,1
703,66.74,34,74,0
704,57.93,67,100,1
705,10.18,51,58,0
706,55.37,72,115,1
707,96.74,19,119,0
708,74.65,34,118,0
709,3.51,22,71,0
710,33.39,98,81,1
711,75.83,22,37,0
712,58.35,54,43,0
713,20.39,94,117,0
714,15.12,59,88,0
715,76.47,84,84,1
716,5.93,97,114,0
717,22.95,94,57,0
718,8.96,58,45,0
719,72.68,20,85,0
720,89.43,64,107,1
721,32.83,40,55,0
722,72.13,89,44,0
723,84.78,57,113,1
724,73.19,66,111,1
725,12.57,15,78,0
726,13.55,30,108,0
727,85.32,29,66,0
728,47.76,85,108,1
729,95.68,42,47,0
730,41.22,11,39,0
731,46.93,64,33,0
732,56.92,86,70,0
733,45.41,65,100,1
734,1.4,39,76,0
735,75.52,96,51,0
736,25.86,64,80,0
737,33.41,74,86,1
738,87.41,32,70,0
739,86.97,74,54,0
740,53.8,90,111,1
741,82.98,79,109,1
742,50.3,8,27,0
743,85.81,19,39,0
744,69.24,45,108,0
745,38.49,33,120,0
746,29.51,24,59,0
747,89.96,56,37,0
748,39.58,66,80,0
749,53.63,2,31,0
750,99.2,62,40,0
751,10.01,48,27,0
752,12.31,83,113,0
753,91.96,98,63,0
754,43.44,72,65,0
755,53.29,90,51,0
756,18.58,62,100,0
757,22.45,56,75,0
758,53.89,91,45,0
759,33.04,27,78,0
760,44.37,55,27,0
761,68.77,37,30,0
762,89.25,77,94,1
763,80.34,17,59,0
764,92.53,53,58,0
765,18.91,11,73,0
766,31.8,97,79,0
767,33.02,16,105,0
768,22.9,29,46,0
769,38.74,77,120,1
770,61.25,89,21,0
771,58.24,35,72,0
772,88.21,44,63,0
773,84.8,88,69,0
774,69.51,94,80,0
775,45.06,11,70,0
776,63.98,25,21,0
777,49.78,66,44,0
778,97.78,72,99,1
779,98.79,40,22,0
780,54.65,26,102,0
781,22.5,46,116,0
782,52.51,17,56,0
783,13.65,5,68,0
784,3.78,53,119,0
785,21.9,80,23,0
786,39.99,50,73,0
787,41.47,100,120,1
788,78.33,61,56,0
789,39.1,95,104,1
790,49.75,2,50,0
791,75.96,58,72,0
792,79.36,44,104,0
793,7.44,48,104,0
794,14.35,1,96,0
795,32.68,34,105,0
796,2.46,21,117,0
797,74.59,69,50,0
798,93.2,73,26,0
799,11.54,3,52,0
800,71.64,96,44,0
801,19.96,11,41,0
802,88.9,42,106,0
803,9.31,23,78,0
804,61.71,75,57,0
805,9.6,32,103,0
806,53.08,17,95,0
807,1.9,51,57,0
808,75.13,98,71,0
809,53.83,72,63,0
810,14.92,6,50,0
811,35.91,35,32,0
812,78.96,6,79,0
813,55.56,94,101,1
814,73.58,26,92,0
815,81.57,43,20,0
816,31.55,96,54,0
817,77.8,100,58,0
818,0.5,72,75,0
819,77.22,37,99,0
820,52.65,36,89,0
821,0.33,93,114,0
822,96.42,13,29,0
823,73.29,77,95,1
824,50.0,64,38,0
825,69.47,11,119,0
826,37.13,65,118,1
827,93.26,23,115,0
828,72.55,27,105,0
829,70.13,36,108,0
830,88.83,7,46,0
831,20.58,35,94,0
832,86.01,25,117,0
833,91.15,19,61,0
834,96.07,41,63,0
835,5.08,59,71,0
836,62.01,23,113,0
837,96.68,11,80,0
838,97.92,71,77,0
839,19.05,47,52,0
840,42.0,99,29,0
841,12.99,52,85,0
842,61.65,99,103,1
843,16.48,14,103,0
844,52.43,67,78,0
845,98.87,41,99,0
846,8.57,35,104,0
847,94.8,27,81,0
848,12.46,6,57,0
849,72.65,17,49,0
850,18.22,71,97,0
851,59.45,57,35,0
852,22.61,23,49,0
853,2.02,58,106,0
854,17.84,55,69,0
855,2.92,57,40,0
856,4.94,90,117,0
857,96.25,65,21,0
858,42.28,22,113,0
859,83.11,25,93,0
860,71.9,37,75,0
861,65.6,54,43,0
862,13.18,36,28,0
863,93.98,22,94,0
864,65.76,91,51,0
865,76.16,69,115,1
866,80.15,24,88,0
867,5.6,12,80,0
868,71.31,93,41,0
869,55.75,62,112,1
870,89.34,50,114,0
871,87.75,83,50,0
872,94.59,51,48,0
873,48.47,6,58,0
874,9.79,97,69,0
875,58.77,83,28,0
876,27.0,83,31,0
877,9.15,20,113,0
878,55.84,3,69,0
879,54.67,64,110,1
880,79.96,36,110,0
881,46.13,68,110,1
882,44.1,83,32,0
883,51.94,89,59,0
884,1.18,36,116,0
885,56.73,10,108,0
886,17.39,64,46,0
887,28.0,9,59,0
888,7.29,60,98,0
889,98.57,45,69,0
890,3.39,79,39,0
891,38.29,70,99,1
892,69.12,23,52,0
893,95.42,23,35,0
894,32.34,31,42,0
895,20.86,50,51,0
896,34.78,8,58,0
897,63.16,16,100,0
898,76.89,68,30,0
899,35.52,9,35,0
900,65.87,24,109,0
901,86.1,38,87,0
902,86.86,48,95,0
903,21.8,55,92,0
904,69.18,90,29,0
905,34.09,27,118,0
906,29.8,8,27,0
907,31.32,43,56,0
908,97.32,59,67,0
909,24.82,63,101,0
910,61.17,31,26,0
911,73.31,92,100,1
912,3.78,1,94,0
913,74.73,73,99,1
914,24.71,32,94,0
915,69.9,65,88,1
916,55.64,4,39,0
917,71.14,22,55,0
918,86.82,100,26,0
919,82.39,98,38,0
920,13.02,93,106,0
921,25.27,2,103,0
922,16.96,26,88,0
923,39.19,2,84,0
924,74.11,19,102,0
925,49.22,99,69,0
926,70.15,33,69,0
927,65.13,1,72,0
928,32.53,42,35,0
929,8.13,70,49,0
930,40.93,30,22,0
931,76.44,17,120,0
932,6.71,40,83,0
933,29.88,86,99,0
934,27.02,30,100,0
935,28.9,8,50,0
936,39.45,7,113,0
937,48.01,12,56,0
938,8.26,44,32,0
939,49.88,69,49,0
940,37.23,29,115,0
941,66.86,51,42,0
942,40.7,11,31,0
943,80.42,68,112,1
944,64.98,24,101,0
945,98.96,86,40,0
946,45.03,50,36,0
947,38.51,74,118,1
948,47.93,39,83,0
949,78.57,21,53,0
950,23.38,48,93,0
951,11.24,51,97,0
952,97.76,31,72,0
953,62.95,76,43,0
954,16.82,45,89,0
955,56.86,5,24,0
956,72.1,25,70,0
957,59.9,40,23,0
958,23.67,2,87,0
959,90.46,50,23,0
960,60.01,15,85,0
961,86.69,30,30,0
962,71.35,12,20,0
963,29.28,87,74,0
964,99.98,18,40,0
965,54.92,86,115,1
966,24.9,5,72,0
967,60.78,80,34,0
968,98.99,75,67,0
969,41.72,22,87,0
970,98.21,9,99,0
971,64.79,46,84,0
972,84.53,33,22,0
973,1.62,4,69,0
974,44.26,23,95,0
975,69.4,72,36,0
976,18.66,2,59,0
977,96.28,60,100,1
978,54.2,6,27,0
979,42.72,37,51,0
980,75.95,88,111,1
981,15.7,94,31,0
982,75.81,26,49,0
983,61.17,44,64,0
984,71.88,70,64,0
985,54.41,45,20,0
986,49.67,27,28,0
987,26.57,72,22,0
988,15.4,94,90,0
989,48.24,7,108,0
990,85.73,82,44,0
991,82.4,32,120,0
992,21.22,77,90,0
993,79.67,11,75,0
994,13.14,35,82,0
995,93.56,17,59,0
996,6.46,82,77,0
997,54.54,66,107,1
998,46.95,28,80,0
999,93.1,41,22,0
1000,19.76,79,43,0
